Country Code,Country,Sub Region,Sub Region 2,Date,Category,Pct Change,YYYY-MM-DD,Province
CA,Canada,Canada,,2/15/2020,Retail and Recreation,4,2020-02-15,Canada
CA,Canada,Canada,,2/15/2020,Grocery and Pharmacy,2,2020-02-15,Canada
CA,Canada,Canada,,2/15/2020,Parks,10,2020-02-15,Canada
CA,Canada,Canada,,2/15/2020,Transit Stations,3,2020-02-15,Canada
CA,Canada,Canada,,2/15/2020,Workplaces,1,2020-02-15,Canada
CA,Canada,Canada,,2/15/2020,Residential,0,2020-02-15,Canada
CA,Canada,Canada,,2/16/2020,Retail and Recreation,13,2020-02-16,Canada
CA,Canada,Canada,,2/16/2020,Grocery and Pharmacy,8,2020-02-16,Canada
CA,Canada,Canada,,2/16/2020,Parks,41,2020-02-16,Canada
CA,Canada,Canada,,2/16/2020,Transit Stations,4,2020-02-16,Canada
CA,Canada,Canada,,2/16/2020,Workplaces,0,2020-02-16,Canada
CA,Canada,Canada,,2/16/2020,Residential,-2,2020-02-16,Canada
CA,Canada,Canada,,2/17/2020,Retail and Recreation,-12,2020-02-17,Canada
CA,Canada,Canada,,2/17/2020,Grocery and Pharmacy,-15,2020-02-17,Canada
CA,Canada,Canada,,2/17/2020,Parks,63,2020-02-17,Canada
CA,Canada,Canada,,2/17/2020,Transit Stations,-28,2020-02-17,Canada
CA,Canada,Canada,,2/17/2020,Workplaces,-52,2020-02-17,Canada
CA,Canada,Canada,,2/17/2020,Residential,11,2020-02-17,Canada
CA,Canada,Canada,,2/18/2020,Retail and Recreation,-1,2020-02-18,Canada
CA,Canada,Canada,,2/18/2020,Grocery and Pharmacy,4,2020-02-18,Canada
CA,Canada,Canada,,2/18/2020,Parks,6,2020-02-18,Canada
CA,Canada,Canada,,2/18/2020,Transit Stations,-1,2020-02-18,Canada
CA,Canada,Canada,,2/18/2020,Workplaces,-1,2020-02-18,Canada
CA,Canada,Canada,,2/18/2020,Residential,1,2020-02-18,Canada
CA,Canada,Canada,,2/19/2020,Retail and Recreation,1,2020-02-19,Canada
CA,Canada,Canada,,2/19/2020,Grocery and Pharmacy,1,2020-02-19,Canada
CA,Canada,Canada,,2/19/2020,Parks,9,2020-02-19,Canada
CA,Canada,Canada,,2/19/2020,Transit Stations,0,2020-02-19,Canada
CA,Canada,Canada,,2/19/2020,Workplaces,0,2020-02-19,Canada
CA,Canada,Canada,,2/19/2020,Residential,0,2020-02-19,Canada
CA,Canada,Canada,,2/20/2020,Retail and Recreation,6,2020-02-20,Canada
CA,Canada,Canada,,2/20/2020,Grocery and Pharmacy,4,2020-02-20,Canada
CA,Canada,Canada,,2/20/2020,Parks,14,2020-02-20,Canada
CA,Canada,Canada,,2/20/2020,Transit Stations,-1,2020-02-20,Canada
CA,Canada,Canada,,2/20/2020,Workplaces,1,2020-02-20,Canada
CA,Canada,Canada,,2/20/2020,Residential,0,2020-02-20,Canada
CA,Canada,Canada,,2/21/2020,Retail and Recreation,2,2020-02-21,Canada
CA,Canada,Canada,,2/21/2020,Grocery and Pharmacy,-1,2020-02-21,Canada
CA,Canada,Canada,,2/21/2020,Parks,10,2020-02-21,Canada
CA,Canada,Canada,,2/21/2020,Transit Stations,-1,2020-02-21,Canada
CA,Canada,Canada,,2/21/2020,Workplaces,-3,2020-02-21,Canada
CA,Canada,Canada,,2/21/2020,Residential,1,2020-02-21,Canada
CA,Canada,Canada,,2/22/2020,Retail and Recreation,8,2020-02-22,Canada
CA,Canada,Canada,,2/22/2020,Grocery and Pharmacy,5,2020-02-22,Canada
CA,Canada,Canada,,2/22/2020,Parks,28,2020-02-22,Canada
CA,Canada,Canada,,2/22/2020,Transit Stations,6,2020-02-22,Canada
CA,Canada,Canada,,2/22/2020,Workplaces,6,2020-02-22,Canada
CA,Canada,Canada,,2/22/2020,Residential,-1,2020-02-22,Canada
CA,Canada,Canada,,2/23/2020,Retail and Recreation,10,2020-02-23,Canada
CA,Canada,Canada,,2/23/2020,Grocery and Pharmacy,6,2020-02-23,Canada
CA,Canada,Canada,,2/23/2020,Parks,36,2020-02-23,Canada
CA,Canada,Canada,,2/23/2020,Transit Stations,5,2020-02-23,Canada
CA,Canada,Canada,,2/23/2020,Workplaces,5,2020-02-23,Canada
CA,Canada,Canada,,2/23/2020,Residential,-1,2020-02-23,Canada
CA,Canada,Canada,,2/24/2020,Retail and Recreation,3,2020-02-24,Canada
CA,Canada,Canada,,2/24/2020,Grocery and Pharmacy,2,2020-02-24,Canada
CA,Canada,Canada,,2/24/2020,Parks,19,2020-02-24,Canada
CA,Canada,Canada,,2/24/2020,Transit Stations,-1,2020-02-24,Canada
CA,Canada,Canada,,2/24/2020,Workplaces,3,2020-02-24,Canada
CA,Canada,Canada,,2/24/2020,Residential,0,2020-02-24,Canada
CA,Canada,Canada,,2/25/2020,Retail and Recreation,2,2020-02-25,Canada
CA,Canada,Canada,,2/25/2020,Grocery and Pharmacy,5,2020-02-25,Canada
CA,Canada,Canada,,2/25/2020,Parks,9,2020-02-25,Canada
